Sr_No,Review_Title,Review_Text,Review_Rating,Review_Date,Upvote,Downvote,Sum_of_Up_Down,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,Len_after,POS,Perc_Noun,Perc_Verb,Perc_Adverb,Perc_Adj,h,ReviewTitle_Sentiment
302,Amazing is the one word for Apple.,"get Apple shine 7 , thank Flipkart amazing low price 38499- big billion day , package arrive time . 
 New phone 7 , mesmerize look , feature touch , crisp clear display , sound good , ear - pad class good sound . start Apple phone realize cost smartphone . terrific sale support . phone heat bit initial 2 day , contract apple customer service chat phone support solve query .Apple unique feature adapt start use phone initial day heat bit entry true . not feel like phone , phone light weight u feel u start gem device . Camera par phone come close pick quality phone 7 .Finally phone , use surely regret . thank .",5,2017-05-01 00:00:00,14,14,28,206,9,0,,0,,0,117,AUX PROPN NOUN NUM PUNCT VERB PROPN ADJ ADJ NOUN NUM ADJ NUM NOUN PUNCT NOUN ADJ NOUN PUNCT SPACE ADJ NOUN NUM PUNCT NOUN NOUN PUNCT NOUN NOUN PUNCT ADJ ADJ NOUN PUNCT VERB ADJ PUNCT ADJ PUNCT NOUN NOUN ADJ NOUN PUNCT VERB PROPN NOUN VERB NOUN NOUN PUNCT ADJ NOUN NOUN PUNCT NOUN NOUN NOUN ADJ NUM NOUN PUNCT NOUN NOUN NOUN NOUN VERB NOUN NOUN VERB NOUN PUNCT ADJ NOUN NOUN VERB VERB NOUN ADJ NOUN NOUN NOUN NOUN ADJ PUNCT PART VERB SCONJ NOUN PUNCT NOUN NOUN NOUN PRON VERB PRON VERB NOUN NOUN PUNCT NOUN NOUN NOUN VERB ADJ NOUN NOUN NOUN NUM NUM NOUN PUNCT VERB ADV NOUN PUNCT VERB PUNCT,43.22,11.86,0.85,13.56,0.5,pos
303,Useless product,not anna star product ... provide bad product ... phone charge heating flipcart ready help customer bad ready responsibility y shell product .... suggest u gun not buy flipcart .... bad bad ..... disappoint ....,1,2017-09-01 00:00:00,9,6,15,61,1,0,,0,,0,35,PART PROPN PROPN NOUN PUNCT VERB ADJ NOUN PUNCT NOUN NOUN NOUN ADV ADJ NOUN NOUN ADJ ADJ NOUN NOUN ADJ NOUN PUNCT VERB PROPN NOUN PART VERB ADV PUNCT ADJ ADJ PUNCT NOUN PUNCT,34.29,8.57,5.71,20.0,0.6,neu
304,Not good,"3 problem 2 month time . ask replacement wait hear Apple . problem 
  1 unable hear headphone . repair center change , problem continue 
  2 shone power , kind completely dead .",2,2017-08-01 00:00:00,8,6,14,50,4,0,,0,,0,32,NUM NOUN NUM NOUN NOUN PUNCT VERB NOUN NOUN VERB PROPN PUNCT NOUN SPACE NUM ADJ VERB NOUN PUNCT PROPN PROPN NOUN PUNCT NOUN VERB SPACE NUM NOUN NOUN PUNCT ADV ADV ADJ PUNCT,32.35,11.76,5.88,5.88,0.57,neu
305,Extremely satisfied despite being sceptical at 1st,"sceptic seller genuineness product buy product extremely cheap rate sale . month , product show absolutely stitch make doubt product counterfeit . recommend .",4,2017-06-01 00:00:00,7,5,12,60,3,0,,0,,0,24,ADJ NOUN NOUN NOUN VERB NOUN ADV ADJ NOUN NOUN PUNCT NOUN PUNCT NOUN VERB ADV NOUN VERB NOUN NOUN ADV PUNCT VERB PUNCT,45.83,16.67,12.5,8.33,0.58,pos
306,Best phone ever,recently buy shone 7 zero payment Ajar finger shone tell shine experience law heat fast fast camera quality good,5,2016-11-01 00:00:00,6,4,10,40,1,0,,0,,0,19,ADV VERB NOUN NUM NUM NOUN PROPN NOUN NOUN X NOUN NOUN NOUN NOUN ADV ADJ NOUN NOUN NOUN,57.89,5.26,10.53,5.26,0.6,pos
307,Awesome Product,"excellent product , worth money ...",5,2016-11-01 00:00:00,6,4,10,5,1,0,,0,,0,6,ADJ NOUN PUNCT ADJ NOUN PUNCT,33.33,0.0,0.0,33.33,0.6,pos
308,Outdid Apple !!,Flipkart outside Apple term handing phone hour indian launch . launch pm . phone home deliver 8 . go friend Apple pick piece get pm learn lesson . M super impress,5,2016-10-01 00:00:00,60,96,156,58,7,0,,0,,0,31,PROPN ADP PROPN NOUN NOUN NOUN NOUN ADJ NOUN PUNCT NOUN PROPN PUNCT NOUN NOUN VERB NUM PUNCT VERB NOUN PROPN NOUN NOUN AUX NOUN VERB NOUN PUNCT PROPN NOUN NOUN,48.39,9.68,0.0,3.23,0.38,neu
309,Awesome phone,"receive sex beast phone 7 gold day release.5 star flipkart fat delivery . quality phone awesome , good touch battery . new camera quality sterno sound excellent . later proof feature advantage look shone . overall 5 star cheer",5,2016-10-01 00:00:00,11,11,22,65,5,0,,0,,0,39,VERB NOUN NOUN NOUN NUM NOUN NOUN PROPN NOUN NOUN ADJ NOUN PUNCT NOUN NOUN NOUN PUNCT ADJ NOUN NOUN PUNCT ADJ NOUN NOUN NOUN VERB ADJ PUNCT ADV NOUN NOUN NOUN NOUN VERB PUNCT ADV NUM NOUN NOUN,56.41,7.69,5.13,10.26,0.5,pos
312,"Poor battery, may be its a faulty Product.","packing good . N receive hand drowned battery . charge start . set enter password email , doubt new phone 7 worth ruble ask brand new second hand duplicate . come know battery poor compare previous version . 6 , n , battery get extremely good satisfied phone 7 battery get faulty product . lose trust flipkart .",2,2017-08-01 00:00:00,71,121,192,118,7,0,,0,,0,58,VERB ADJ PUNCT NUM ADJ NOUN VERB NOUN PUNCT NOUN NOUN PUNCT VERB VERB NOUN NOUN PUNCT VERB ADJ NOUN NUM ADJ NOUN VERB NOUN ADJ ADJ NOUN NOUN PUNCT VERB VERB NOUN ADJ VERB ADJ NOUN PUNCT NUM PUNCT ADJ PUNCT NOUN VERB ADV ADJ ADJ NOUN NUM NOUN VERB ADJ NOUN PUNCT VERB NOUN NOUN PUNCT,32.76,20.69,1.72,20.69,0.37,neg
313,Awesome phone!!!,"degrade shone 7 amazing . late mobile available market heat continuously . battery amazing withstand 8 10 hour continuous network usage . West mobile . 
 
  product delivery get delay 1 day like 5 rating customer service excellent . 
 
  thank Flipkart ..",5,2017-01-01 00:00:00,29,42,71,68,6,0,,0,,0,41,PROPN VERB NUM ADJ PUNCT ADJ ADJ ADJ NOUN NOUN ADV PUNCT NOUN ADJ VERB NUM NUM NOUN ADJ NOUN NOUN PUNCT PROPN NOUN PUNCT SPACE NOUN NOUN VERB NOUN NUM NOUN SCONJ NUM NOUN NOUN NOUN ADJ PUNCT SPACE VERB PROPN PUNCT,32.56,9.3,2.33,16.28,0.41,pos
338,True iPhone experience,"absolutely amazing product . month . candle day day activity like breeze . upgrade shone difference noticeable . definitely hold phone 2 - 2.5 year shone generally good shelf life . 
 
  bud Flipkart , get phone is.38,500 get deliver 2 day . 
 
  deep good work",5,2017-06-01 00:00:00,10,10,20,76,7,0,,0,,0,45,ADV ADJ NOUN PUNCT NOUN PUNCT PROPN PROPN NOUN NOUN SCONJ NOUN PUNCT PROPN NOUN NOUN ADJ PUNCT ADV VERB NOUN NUM SYM NUM NOUN VERB ADV ADJ NOUN NOUN PUNCT SPACE VERB PROPN PUNCT VERB NOUN PROPN AUX VERB NUM NOUN PUNCT SPACE ADJ ADJ NOUN,29.79,10.64,6.38,10.64,0.5,neu
339,Just okay,buy product 60000 ruble repay courier boy keep say deliver phone tomorrow say showing delivery get home n wait keep say deliver tomorrow n say come colony plus get deliver flipkart pp 4 pm deliver 6 pm not know get frustrated phone volume key want clink n sanctioning get flipkart service say Apple service centre get fix come n battery draining happen rest phone okay delivery n piece get want good get good price complain ... improve delivery service flipkart mark happy purchase n remove star .... update ... phone drain battery 10.3.3 update work fine think software issue well flipkart service well apple thank god phone heal software update ......,3,2017-05-01 00:00:00,10,10,20,213,1,0,,0,,0,111,VERB NOUN NUM VERB ADJ NOUN NOUN VERB VERB VERB NOUN NOUN VERB VERB NOUN VERB NOUN NOUN NOUN VERB VERB VERB NOUN ADJ VERB VERB NOUN CCONJ AUX VERB PROPN PROPN NUM NOUN VERB NUM NOUN PART VERB AUX VERB NOUN NOUN NOUN NOUN NOUN ADJ NOUN VERB NOUN NOUN VERB PROPN NOUN PROPN VERB NOUN VERB ADJ NOUN VERB VERB NOUN NOUN INTJ NOUN NOUN NOUN AUX VERB ADJ VERB ADJ NOUN NOUN PUNCT VERB NOUN NOUN NOUN PROPN PROPN NOUN PROPN VERB NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN NUM VERB NOUN ADJ VERB NOUN NOUN INTJ PROPN PROPN INTJ PROPN VERB PROPN PROPN ADJ NOUN NOUN PUNCT,40.54,27.03,0.0,7.21,0.5,neu
340,"Great phone, missing headphone jack aside.","phone exactly describe implacable build quality . new black colour look great . yes , expensive cash offer pre - order unit , work k price include taxis . cost guess indian warranty peace mind . 
 
  , flipkart flipkart , attempt delivery phone day release great .",5,2016-10-01 00:00:00,13,15,28,79,5,0,,0,,0,47,NOUN ADV VERB ADJ NOUN NOUN PUNCT ADJ ADJ NOUN VERB ADJ PUNCT INTJ PUNCT ADJ NOUN NOUN ADJ ADJ ADJ NOUN PUNCT NOUN NOUN NOUN VERB NOUN PUNCT NOUN ADJ PROPN NOUN NOUN NOUN PUNCT SPACE PUNCT PROPN PROPN PUNCT VERB NOUN NOUN NOUN NOUN ADV PUNCT,39.58,8.33,4.17,18.75,0.46,neu
341,Great experince,mobile good . defect thank supercomnet retainer . Flipkart deliver week promise date deliver early promise date . miss route courier misroute stock package . delivery product good notice mobile heating high utilisation happen WhatsApp video call frequently.it month experience phone mobile good build ape cool .,4,2017-07-01 00:00:00,9,9,18,79,4,0,,0,,0,47,PROPN ADJ PUNCT VERB VERB NOUN NOUN PUNCT PROPN VERB NOUN NOUN NOUN VERB ADJ NOUN NOUN PUNCT PROPN PROPN PROPN PROPN PROPN NOUN PUNCT NOUN NOUN ADJ NOUN NOUN NOUN ADJ NOUN VERB PROPN NOUN NOUN X NOUN NOUN NOUN NOUN ADJ VERB NOUN ADJ PUNCT,44.68,12.77,0.0,12.77,0.5,pos
342,Nice phone,"product time , thank flipkat ask price , nice phone , heat little expect performance amazing , benchmark score varie accord temperature , keep fridge benchmark score par shone score overall satisfied purchase",5,2017-05-01 00:00:00,9,9,18,53,2,0,,0,,0,33,NOUN NOUN PUNCT VERB PROPN PROPN NOUN PUNCT ADJ NOUN PUNCT NOUN ADJ VERB NOUN ADJ PUNCT ADJ NOUN PROPN PROPN PROPN PUNCT VERB NOUN NOUN NOUN NOUN NOUN NOUN ADV ADJ NOUN,42.42,9.09,3.03,15.15,0.5,neu
343,Absolute rubbish!,product hardware issue confirm Apple . Flipkart support reluctant product submit apple case number . will not purchase Apple product Flipkart . nightmare,1,2017-08-01 00:00:00,19,26,45,40,4,0,,0,,0,23,NOUN NOUN NOUN VERB PROPN PUNCT PROPN VERB ADJ NOUN VERB NOUN NOUN NOUN PUNCT VERB PART VERB PROPN NOUN PROPN PUNCT PROPN,34.78,21.74,0.0,4.35,0.42,neu
344,Worth purchase,"phone u dream use , 1 thing need change quiet difficult phone 6 7 look phone 7 good",4,2017-01-01 00:00:00,6,5,11,39,1,0,,0,,0,18,NOUN PROPN NOUN NOUN PUNCT NUM NOUN VERB VERB ADJ ADJ NOUN NUM NUM NOUN NOUN NUM NOUN,44.44,11.11,0.0,11.11,0.55,neu
345,Don't waste your money,"dead j open ... 
  felling relax fkipkart go replace ...",1,2016-12-01 00:00:00,8,8,16,22,1,0,,0,,0,10,PROPN PROPN ADJ PUNCT SPACE VERB NOUN NOUN VERB VERB PUNCT,18.18,27.27,0.0,9.09,0.5,neu
346,This is 7. But doesn't live upto expectations.,"shone 7 - 32 GB Black 

 Gros 
 - Superfast A10 Processor 
 - Improved button Septic Feedback 
 - Excellent light camera image sterilisation 
 - 32 GB Storage base model 
 - improved Sterno sound speaker 
 - great battery life . last day charge . significantly well predecessor . 
 - importantly , time waterproof . 

 son 
 - shone 16 GB , haven notice difference aesthetic phone feel . worth upbraid shone 6   . 
 - headphone jack . insert adapt order use external headphone 3.mmm jack . 
 - Screen quality . 

 verdict   feel phone overhype phone good buy new shone user upbraid .",5,2016-10-01 00:00:00,8,8,16,148,10,0,,0,,0,99,NOUN NUM SYM NUM PROPN PROPN SPACE PROPN SPACE PUNCT PROPN PROPN PROPN SPACE PUNCT VERB NOUN PROPN PROPN SPACE PUNCT ADJ ADJ NOUN NOUN NOUN SPACE PUNCT NUM PROPN PROPN NOUN NOUN SPACE PUNCT VERB PROPN NOUN NOUN SPACE PUNCT ADJ NOUN NOUN PUNCT ADJ NOUN NOUN PUNCT ADV INTJ NOUN PUNCT SPACE PUNCT ADV PUNCT NOUN PROPN PUNCT SPACE NOUN SPACE PUNCT PROPN NUM PROPN PUNCT NOUN NOUN NOUN ADJ NOUN NOUN PUNCT ADJ PROPN NOUN NUM SPACE PUNCT SPACE PUNCT PROPN NOUN PUNCT ADV NOUN NOUN VERB PROPN PROPN NUM NOUN PUNCT SPACE PUNCT PROPN NOUN PUNCT SPACE NOUN SPACE VERB NOUN NOUN NOUN ADJ VERB ADJ NOUN NOUN PROPN PUNCT,28.95,4.39,2.63,7.02,0.5,neu
347,"The perfect mix of Storage, form factor and capabilities","Ought 1 India launch 
  amazing hardwaresoftware unify experience . 
  improved backfront camera ... 
  .. minimum 32 , apple finally storage right . 
  Fingerprint clock work fearlessly",5,2016-12-01 00:00:00,15,20,35,34,4,0,,0,,0,26,PROPN NUM PROPN NOUN SPACE ADJ PROPN PROPN NOUN PUNCT SPACE ADJ PROPN PROPN PUNCT SPACE PUNCT NOUN NUM PUNCT PROPN ADV NOUN ADV PUNCT SPACE NOUN NOUN NOUN ADV,23.33,0.0,10.0,6.67,0.43,pos
351,Best Phone I ever used,"Apple water , 2 thing , customisation price , typical customisation guy , thing work box expect update . datum security important . see lot YouTube review buy Samsung Galaxy , week cool , start feel like andro device , late feature paper refinement , , consumer device design liability matter , feel like refine like skin andro , lot background service . camera - low light object appear average . download update ape roam cellular network . think exchange shone luck Flipkart option SAMSUNG category , outside value secondhand andro device give device brother Ought shine 7 . Sac system work great . fall grate hand , awesome , refined ape , letter image rendering , west security integration ape , message grate , 1.5 day battery medium internet usage , automatic history old new apple device , free apple ape Garageband , , video shoot love",5,2017-05-01 00:00:00,16,24,40,230,8,0,,0,,0,148,PROPN NOUN PUNCT NUM NOUN PUNCT NOUN NOUN PUNCT ADJ NOUN NOUN PUNCT NOUN NOUN NOUN VERB NOUN PUNCT VERB NOUN ADJ PUNCT VERB NOUN PROPN NOUN VERB PROPN PROPN PUNCT NOUN ADJ PUNCT VERB VERB SCONJ NOUN NOUN PUNCT ADJ NOUN NOUN NOUN PUNCT PUNCT NOUN NOUN NOUN NOUN NOUN PUNCT VERB SCONJ NOUN SCONJ NOUN NOUN PUNCT NOUN NOUN NOUN PUNCT NOUN PUNCT ADJ ADJ NOUN VERB ADJ PUNCT PROPN PROPN PROPN PROPN PROPN NOUN PUNCT VERB PROPN NOUN NOUN PROPN NOUN PROPN NOUN PUNCT ADJ NOUN NOUN NOUN NOUN VERB NOUN NOUN VERB VERB NUM PUNCT NOUN NOUN NOUN ADV PUNCT VERB NOUN NOUN PUNCT ADJ PUNCT ADJ NOUN PUNCT NOUN NOUN NOUN PUNCT PROPN PROPN NOUN NOUN PUNCT NOUN NOUN PUNCT NUM NOUN NOUN NOUN NOUN NOUN PUNCT ADJ NOUN ADJ ADJ NOUN NOUN PUNCT ADJ NOUN PROPN PROPN PUNCT PUNCT NOUN NOUN NOUN,45.95,8.78,0.68,9.46,0.4,pos
352,Worth buy,"product 
  well touch response time previous version shone . black color super cool , change look . Camera upgrade good , bright display . 
  Sterno sound good , new home button sensitive , overall good buy . 
 
  delivery pack 
  timely delivery user cool box , bud Flipkart",4,2016-10-01 00:00:00,15,22,37,61,5,0,,0,,0,47,NOUN SPACE INTJ VERB NOUN NOUN ADJ NOUN NOUN PUNCT ADJ NOUN ADV ADJ PUNCT NOUN NOUN PUNCT NOUN VERB ADJ PUNCT ADJ NOUN PUNCT SPACE NOUN VERB ADJ PUNCT ADJ NOUN NOUN ADJ PUNCT ADJ ADJ NOUN PUNCT SPACE NOUN NOUN SPACE ADJ NOUN NOUN PROPN NOUN PUNCT VERB PROPN,37.25,7.84,1.96,21.57,0.41,neu
353,Amazing Iphone 7,"phone 7 amazing phone fear good camera people buy dslr . 
  thank u flipkart instant delivery",5,2016-10-01 00:00:00,8,9,17,29,2,0,,0,,0,16,NOUN NUM ADJ NOUN NOUN ADJ NOUN NOUN VERB ADJ PUNCT SPACE VERB PROPN PROPN ADJ NOUN,35.29,11.76,0.0,23.53,0.47,pos
354,iPhone 7 great value for money,"excellent great value money . great experience move shone 4 year shone 7 . new , fast touch response finger print senior great . west fast processor current smartphone . Camera outstanding , well camera experience shone shine 7 camp   imp great , especially low light shot great . miss 3.mmm jack lightning cable headphone charge way good . overall great buying experience Flipkart great discount exchange offer . stump -",5,2017-01-01 00:00:00,9,11,20,107,8,0,,0,,0,71,ADJ ADJ NOUN NOUN PUNCT ADJ NOUN NOUN NOUN NUM NOUN NOUN NUM PUNCT ADJ PUNCT ADJ NOUN NOUN NOUN NOUN ADJ ADV PUNCT PROPN ADJ NOUN ADJ NOUN PUNCT NOUN ADJ PUNCT INTJ NOUN NOUN NOUN VERB NUM NOUN SPACE ADJ ADJ PUNCT ADV ADJ ADJ VERB ADJ PUNCT PROPN PROPN PROPN PROPN PROPN NOUN NOUN ADV ADJ PUNCT ADJ ADJ NOUN NOUN PROPN ADJ NOUN NOUN NOUN PUNCT NOUN PUNCT,36.11,2.78,4.17,25.0,0.45,pos
355,Superb product and fantastic service by Flipkart !,"glassy product Apple tremendous effort Flipkart sure purchase memorable customer deliver product right launch time . bit disappointed lucky pp phone deliver Flipkart founder , understand possible deliver . 

 phone look beautiful , amazing camera quality touch quality . start phone Flipkart pp download review product . day usage , come depth review product . 

 Flipkart u rock",5,2016-10-01 00:00:00,10,13,23,131,7,0,,0,,0,58,NOUN NOUN PROPN ADJ NOUN PROPN ADJ NOUN ADJ NOUN VERB NOUN ADJ NOUN NOUN PUNCT NOUN ADJ ADJ NOUN NOUN VERB PROPN NOUN PUNCT VERB ADJ NOUN PUNCT SPACE NOUN VERB ADJ PUNCT ADJ NOUN NOUN NOUN NOUN PUNCT VERB NOUN PROPN CCONJ NOUN NOUN NOUN PUNCT NOUN NOUN PUNCT VERB NOUN NOUN NOUN PUNCT SPACE PROPN PROPN NOUN,46.67,10.0,0.0,15.0,0.43,pos
356,Terrific purchase,"Camera superb ..... natural 
  satisfy product ... 
  ask processing ahead blandly product",5,4 months ago,13,20,33,17,2,0,,0,,0,12,PROPN NOUN PUNCT ADJ SPACE NOUN NOUN PUNCT SPACE VERB VERB ADV ADV NOUN,28.57,14.29,14.29,7.14,0.39,neu
357,Gorgeous black,"shone 7 launch 7 IST October 7 India . receive sms 7 delivery boy get product . receive product 8 , hour launch . great excitement open packing say priority . open find flipkart exclusive black box design shone 7 . packing elegant surprise . bud flipkart packing delivery . 

 come phone 
 1 colour elegant . design nearly 3.mmm earphones jack , colour make different gorgeous . touch awesome phone set easy . 
 2 speaker loud previous version phone . sure 2 time sound previous phone . 
 3 reception good . try Hittel Reliance Rio . 
 4 camera good . 
 5 absolutely love customisable home button give feeling press button feeling andro phone . 
 6 storage delight . 

 son 
 1 battery great . drain fast minimal YouTube internet usage new ape instal run background . 
 2 display satisfy eye well come resolution . love see . 

 phone gorgeous simple . thank flipkart Apple .",5,2016-10-01 00:00:00,41,83,124,269,23,0,,0,,0,154,NOUN NUM NOUN NUM PROPN PROPN NUM PROPN PUNCT VERB PROPN NUM NOUN NOUN AUX NOUN PUNCT VERB NOUN NUM PUNCT NOUN NOUN PUNCT ADJ NOUN ADJ NOUN VERB NOUN PUNCT ADJ VERB PROPN ADJ ADJ NOUN NOUN VERB NUM PUNCT VERB ADJ NOUN PUNCT VERB NOUN NOUN NOUN PUNCT SPACE VERB NOUN SPACE NUM NOUN ADJ PUNCT VERB ADV NUM NOUN NOUN PUNCT PROPN VERB ADJ ADJ PUNCT VERB ADJ NOUN VERB ADV PUNCT SPACE NUM NOUN ADJ ADJ NOUN NOUN PUNCT ADJ NUM NOUN VERB ADJ NOUN PUNCT SPACE NUM NOUN ADJ PUNCT VERB PROPN PROPN PROPN PUNCT SPACE NUM NOUN NOUN PUNCT SPACE NUM ADV VERB ADJ NOUN NOUN VERB VERB NOUN NOUN VERB NOUN NOUN PUNCT SPACE NUM NOUN NOUN PUNCT SPACE NOUN SPACE NUM NOUN ADJ PUNCT VERB ADJ ADJ PROPN NOUN NOUN ADJ NOUN ADJ NOUN NOUN PUNCT SPACE NUM NOUN NOUN NOUN ADV VERB NOUN PUNCT NOUN VERB PUNCT SPACE NOUN ADJ NOUN PUNCT VERB PROPN PROPN PUNCT,31.52,13.33,2.42,13.33,0.33,pos
358,Wrong product,"product 
  1 . headphone work 
  2 . 4 hour stand battery life",1,2017-04-01 00:00:00,6,6,12,12,3,0,,0,,0,12,NOUN SPACE NUM PUNCT NOUN NOUN SPACE NUM PUNCT NUM NOUN VERB NOUN NOUN,42.86,7.14,0.0,0.0,0.5,neu
359,Most awaited phone,"thank flipkart . feel phone hand . shone 7 awesome touch , battery , design etc.and camera quality good . thank flipkart deliver phone time .",5,2016-10-01 00:00:00,6,6,12,42,4,0,,0,,0,26,VERB PROPN PUNCT VERB NOUN NOUN PUNCT NOUN NUM ADJ NOUN PUNCT NOUN PUNCT NOUN NUM NOUN NOUN ADJ PUNCT VERB PROPN VERB NOUN NOUN PUNCT,38.46,15.38,0.0,7.69,0.5,neu
360,Defective pieces- Dont buy,"spend money not spend . purchase phone 6 year online site . work fine . phone 7 order sale defective . room mistake , apple . replacement defective piece . flipkart sell defective piece . annoy purchase . spend peaceful . return product speaker work phone . send replacement old phone . .",4,2017-01-01 00:00:00,21,37,58,115,12,0,,0,,0,53,VERB NOUN PART VERB PUNCT VERB NOUN NUM NOUN ADJ NOUN PUNCT VERB ADV PUNCT NOUN NUM NOUN NOUN ADJ PUNCT NOUN NOUN PUNCT PROPN PUNCT NOUN ADJ NOUN PUNCT PROPN VERB ADJ NOUN PUNCT DET NOUN PUNCT VERB ADJ PUNCT VERB NOUN NOUN NOUN NOUN PUNCT VERB NOUN ADJ NOUN PUNCT PUNCT,35.85,15.09,1.89,11.32,0.36,neu
362,Superb and stylish!,"superb phone , elegant , stylish class colour matter black ... great choice 
  Flipkart live delivery promise today launch day . overall brilliant North money spend",5,2016-10-01 00:00:00,14,22,36,32,3,0,,0,,0,26,PROPN NOUN PUNCT ADJ PUNCT ADJ NOUN NOUN NOUN ADJ PUNCT ADJ NOUN SPACE PROPN ADJ NOUN NOUN NOUN NOUN NOUN PUNCT ADV ADJ PROPN NOUN VERB,40.74,3.7,3.7,22.22,0.39,pos
363,Way to go Flipkart!,big thank gun Flipkart go extra mile surprise hand deliver phone launch day chocolate good service experience phone look incredible d strongly recommend purchase Flipkart . -R,5,2016-10-01 00:00:00,13,20,33,49,4,0,,0,,0,27,ADJ NOUN NOUN PROPN VERB ADJ NOUN NOUN NOUN VERB NOUN NOUN NOUN NOUN ADJ NOUN NOUN NOUN VERB ADJ NOUN ADV NOUN NOUN PROPN PUNCT PUNCT,55.56,11.11,3.7,14.81,0.39,neu
364,My first proper iDevice,"start 

 shone 7 wondrous device sick animation , gorgeous design , compelling hardware - come single - especially people come Android . nick lack convenient transitioning software feature keep crash reason - start mentally - way 15 year . want technology thing agent change . know feed contact mentally avoid complex data inconsistency , think leave install super handy Trucaller pp meantime - realize moment later trucaller live CALLER WAY android - essentially mean left feel completely embarrassed moment entirety - check number MANUALLY lament lack well judgment . 

 , neck later , certainly come overwhelmingly satisfied decision switch device long live Apple 

 big thumb Flipkart convey purchase - big small - little time little trouble",5,2016-11-01 00:00:00,10,15,25,251,8,0,,0,,0,116,VERB SPACE VERB NUM ADJ NOUN ADJ NOUN PUNCT ADJ NOUN PUNCT VERB NOUN PUNCT VERB ADJ PUNCT ADV NOUN VERB PROPN PUNCT PROPN PROPN ADJ VERB NOUN NOUN VERB NOUN NOUN PUNCT VERB ADV PUNCT NOUN NUM NOUN PUNCT VERB NOUN NOUN NOUN NOUN PUNCT VERB NOUN NOUN ADV VERB ADJ NOUN NOUN PUNCT VERB VERB VERB ADV ADJ PROPN CCONJ ADV PUNCT VERB NOUN ADV PROPN VERB PROPN PROPN NOUN PUNCT ADV VERB VERB VERB ADV ADJ NOUN NOUN PUNCT NOUN NOUN PROPN NOUN NOUN ADJ NOUN PUNCT SPACE PUNCT NOUN ADV PUNCT ADV VERB ADV ADJ NOUN NOUN NOUN ADV VERB PROPN SPACE ADJ NOUN PROPN NOUN NOUN PUNCT ADJ ADJ PUNCT ADJ NOUN ADJ NOUN,31.09,17.65,10.08,12.61,0.4,neu
365,Awesome,"order friend , terrific performance par well plus 5 sport late snapdragon 835 . build quality notch camera performance great low light . 42000 definitely great phone price .",5,2017-06-01 00:00:00,6,7,13,53,3,0,,0,,0,29,PROPN PROPN PUNCT ADJ NOUN NOUN ADV CCONJ NUM NOUN ADJ PROPN NUM PUNCT VERB NOUN NOUN NOUN NOUN ADJ ADJ NOUN PUNCT NUM ADV ADJ NOUN NOUN PUNCT,34.48,3.45,6.9,17.24,0.46,pos
366,Useless product,"1 star seller ... seller doesn deliver promise date , defeat shopping experience . like regular thing look review mention . shone 7 5 star product .",1,2016-12-01 00:00:00,8,11,19,41,3,0,,0,,0,27,NUM PROPN NOUN PUNCT NOUN NOUN VERB NOUN NOUN PUNCT NOUN NOUN NOUN PUNCT SCONJ ADJ NOUN VERB NOUN NOUN PUNCT NOUN NUM NUM NOUN NOUN PUNCT,51.85,7.41,0.0,3.7,0.42,neu
378,Terrific,good . camera quality good . holy sound well voice,5,2018-10-01 00:00:00,6,8,14,13,3,0,,0,,0,10,ADJ PUNCT NOUN NOUN ADJ PUNCT ADJ VERB INTJ NOUN,30.0,10.0,0.0,30.0,0.43,neu
379,Defective product delivered,"bring week ago . defective product deliver . confirm report Apple authorize service center . follow Flipkart customer care , clue handle complaint . face issue West , exchange . Felt sad bring Flipkart interesting pp clue customer service .",2,2017-05-01 00:00:00,6,8,14,71,6,0,,0,,0,40,VERB NOUN ADV PUNCT ADJ NOUN VERB PUNCT VERB NOUN PROPN VERB NOUN NOUN PUNCT VERB PROPN NOUN NOUN PUNCT NOUN VERB NOUN PUNCT NOUN NOUN PROPN PUNCT NOUN PUNCT VERB ADJ VERB PROPN ADJ PROPN PROPN NOUN NOUN PUNCT,35.0,20.0,2.5,7.5,0.43,neu
380,Delightful,"product good world know delivery system pathetic . 
  initial date - Act , delay oct , change color old colour , create rs1000 gift card compensation . 
  delivery get delay 2 day product reach nearby hut . 
 
  show flipkart professionalism logistic poor light",4,2016-10-01 00:00:00,5,6,11,56,4,0,,0,,0,43,NOUN ADJ NOUN VERB NOUN NOUN ADJ PUNCT SPACE ADJ NOUN PUNCT PROPN PUNCT NOUN PROPN PUNCT VERB NOUN ADJ NOUN PUNCT VERB PROPN NOUN NOUN NOUN PUNCT SPACE NOUN VERB NOUN NUM NOUN NOUN VERB ADJ PROPN PUNCT SPACE VERB PROPN NOUN PROPN ADJ NOUN,36.96,13.04,0.0,13.04,0.45,pos
